category,key,value,note
stage,trim2.delta_image_kib_vs_baseline,-11450,D18 已进入 perf/rootfs 新周期；数字可入表，但跨 D15/D16 只能作阶段参考，不能直接下纯收益结论。
stage,trim2.rootfs_kib,8128,D18 已进入 perf/rootfs 新周期；数字可入表，但跨 D15/D16 只能作阶段参考，不能直接下纯收益结论。
stage,trim2.delta_rootfs_kib_vs_baseline,+6947,D18 已进入 perf/rootfs 新周期；数字可入表，但跨 D15/D16 只能作阶段参考，不能直接下纯收益结论。
stage,trim2.boot_ms,2054,D18 已进入 perf/rootfs 新周期；数字可入表，但跨 D15/D16 只能作阶段参考，不能直接下纯收益结论。
stage,trim2.delta_boot_ms_vs_baseline,+46,D18 已进入 perf/rootfs 新周期；数字可入表，但跨 D15/D16 只能作阶段参考，不能直接下纯收益结论。
stage,trim2.memfree_kib,961808,D18 已进入 perf/rootfs 新周期；数字可入表，但跨 D15/D16 只能作阶段参考，不能直接下纯收益结论。
stage,trim2.delta_memfree_kib_vs_baseline,-6756,D18 已进入 perf/rootfs 新周期；数字可入表，但跨 D15/D16 只能作阶段参考，不能直接下纯收益结论。
stage,trim2.slab_kib,8236,D18 已进入 perf/rootfs 新周期；数字可入表，但跨 D15/D16 只能作阶段参考，不能直接下纯收益结论。
stage,trim2.delta_slab_kib_vs_baseline,-4016,D18 已进入 perf/rootfs 新周期；数字可入表，但跨 D15/D16 只能作阶段参考，不能直接下纯收益结论。
stage,trim2.modules_built_count,2,D18 已进入 perf/rootfs 新周期；数字可入表，但跨 D15/D16 只能作阶段参考，不能直接下纯收益结论。
stage,trim2.modules_loaded_count,1,D18 已进入 perf/rootfs 新周期；数字可入表，但跨 D15/D16 只能作阶段参考，不能直接下纯收益结论。
stage,trim2.function_graph_ok,yes,D18 已进入 perf/rootfs 新周期；数字可入表，但跨 D15/D16 只能作阶段参考，不能直接下纯收益结论。
stage,trim2.perf_ok,yes/yes,D18 已进入 perf/rootfs 新周期；数字可入表，但跨 D15/D16 只能作阶段参考，不能直接下纯收益结论。
stage,trim2.pass_status,PASS,D18 已进入 perf/rootfs 新周期；数字可入表，但跨 D15/D16 只能作阶段参考，不能直接下纯收益结论。
stage,trim2.risk_note,rootfs 已含 perf，boot 与 rootfs 体积都受 D17/D18 周期变化影响；更适合作为当前最终形态和方法旁证。,D18 已进入 perf/rootfs 新周期；数字可入表，但跨 D15/D16 只能作阶段参考，不能直接下纯收益结论。
stage,trim2.source_primary,day18/records/compare-20260315-142441.csv,D18 已进入 perf/rootfs 新周期；数字可入表，但跨 D15/D16 只能作阶段参考，不能直接下纯收益结论。
day20,SUITE_READY,1,from day20 delivery status
day20,DELIVERY_READY,1,from day20 delivery status
day20,RUNTIME_READY,0,from day20 delivery status
day20,REGRESSION_PASS,0,from day20 delivery status
day20,LATEST_RECORD,20260315-121428-day20-all-arm64-virt,from day20 delivery status
day20,LATEST_MODE,all,from day20 delivery status
day20,LATEST_VERDICT,MISSING_INPUTS,from day20 delivery status
day20,MISSING_ARTIFACTS,"image,rootfs,dtb",from day20 delivery status
